benchmark,size,selection_scheme,run,timestamp,ilp_time_assignment,status,error
convex_hull,256,smart_lp,8,2026-04-21T19:33:08Z,,error,exit -9: command line - Cbc_C_Interface -solve -quit (default strategy 1) | Welcome to the CBC MILP Solver | Version: 2.10.11 | Build Date: Jan 21 2024 | command line - Cbc_C_Interface -solve -quit (default strategy 1)
convex_hull,256,smart_lp,9,2026-04-21T19:34:22Z,,error,exit -9: command line - Cbc_C_Interface -solve -quit (default strategy 1) | Welcome to the CBC MILP Solver | Version: 2.10.11 | Build Date: Jan 21 2024 | command line - Cbc_C_Interface -solve -quit (default strategy 1)
convex_hull,256,smart_lp,10,2026-04-21T19:35:37Z,,error,exit -9: command line - Cbc_C_Interface -solve -quit (default strategy 1) | Welcome to the CBC MILP Solver | Version: 2.10.11 | Build Date: Jan 21 2024 | command line - Cbc_C_Interface -solve -quit (default strategy 1)
convex_hull,32,smart_lp,1,2026-04-21T19:36:47Z,79.517789,ok,
convex_hull,32,smart_lp,2,2026-04-21T19:38:07Z,76.458536,ok,
convex_hull,32,smart_lp,3,2026-04-21T19:39:24Z,78.356715,ok,
convex_hull,32,smart_lp,4,2026-04-21T19:40:42Z,84.462504,ok,
convex_hull,32,smart_lp,5,2026-04-21T19:42:07Z,79.393341,ok,
convex_hull,32,smart_lp,6,2026-04-21T19:43:27Z,80.166005,ok,
convex_hull,32,smart_lp,7,2026-04-21T19:44:47Z,80.418614,ok,
convex_hull,32,smart_lp,8,2026-04-21T19:46:08Z,83.161644,ok,
convex_hull,32,smart_lp,9,2026-04-21T19:47:31Z,76.748359,ok,
convex_hull,32,smart_lp,10,2026-04-21T19:48:48Z,80.609605,ok,
convex_hull,64,smart_lp,1,2026-04-21T19:50:09Z,,timeout,compile exceeded 120s; killing circ processes
convex_hull,64,smart_lp,2,2026-04-21T19:52:10Z,,timeout,compile exceeded 120s; killing circ processes
convex_hull,64,smart_lp,3,2026-04-21T19:54:10Z,,timeout,compile exceeded 120s; killing circ processes
convex_hull,64,smart_lp,4,2026-04-21T19:56:10Z,,timeout,compile exceeded 120s; killing circ processes
convex_hull,64,smart_lp,5,2026-04-21T19:58:10Z,,timeout,compile exceeded 120s; killing circ processes
convex_hull,64,smart_lp,6,2026-04-21T20:00:11Z,,timeout,compile exceeded 120s; killing circ processes
convex_hull,64,smart_lp,7,2026-04-21T20:02:11Z,,timeout,compile exceeded 120s; killing circ processes
convex_hull,64,smart_lp,8,2026-04-21T20:04:11Z,,timeout,compile exceeded 120s; killing circ processes
convex_hull,64,smart_lp,9,2026-04-21T20:06:11Z,,timeout,compile exceeded 120s; killing circ processes
convex_hull,64,smart_lp,10,2026-04-21T20:08:12Z,,timeout,compile exceeded 120s; killing circ processes
count_102,1024,smart_lp,1,2026-04-21T20:10:12Z,21.316441,ok,
count_102,1024,smart_lp,2,2026-04-21T20:10:34Z,23.047761,ok,
count_102,1024,smart_lp,3,2026-04-21T20:10:58Z,21.554771,ok,
count_102,1024,smart_lp,4,2026-04-21T20:11:20Z,21.587511,ok,
count_102,1024,smart_lp,5,2026-04-21T20:11:42Z,21.470930,ok,
count_102,1024,smart_lp,6,2026-04-21T20:12:04Z,22.117302,ok,
